published_date,updated_date,commentor,comment,like
2022-12-24T03:26:20Z,2022-12-24T03:26:20Z,Doe John,"흠.. 한마디로 요약하자면 단명하는 맛. 맛의 깊이를 억지로 끌어내려고하니 조리하시는 음식들이 전부 단맛을 강하게 내는데 주방 좀 있어보신분들은 다 알죠 비린내 어설픈맛 자극적인맛 억지로 누르기위해서 설탕 뉴슈가 때려넣는것. 모르겠습니다, 내 가족이 먹는다 내 사람들이 먹는다하면 건강을 심각하게 위협할수있는 이런 조리법(요리는 절대 안되구요)은 지양하시는게 좋다고 생각합니다",0
2022-12-01T08:40:40Z,2022-12-01T08:40:40Z,통통이,너무 귀찮은데 그냥 김치랑 고기만 넣어도 먹을만 하겠죠?,0
2022-12-17T05:35:01Z,2022-12-17T05:35:01Z,우정패딩's,@박근혜가문재인걸안철수 집에서 대충 김치찌개 해먹기귀찮으면 해먹는방식 ㅋㅋ,0
2022-12-17T03:39:06Z,2022-12-17T03:39:06Z,박근혜가문재인걸안철수,@우정패딩's 그.. 맞나?,0
2022-12-03T01:53:14Z,2022-12-03T01:53:14Z,우정패딩's,걍 라면스프에 파송송 김치 넣고 돼지고기 넣으셈 ㅋㅋ,0
2022-11-26T01:33:39Z,2022-11-26T01:33:39Z,해바라기,"자세하게 가르켜주셔서  그대로  해 보겠읍니다
감사합니다",0
2022-11-24T18:32:54Z,2022-11-24T18:32:54Z,굳실버,종원씨 화면 글이 너무 작아요.,0
2022-11-24T09:01:23Z,2022-11-24T09:01:23Z,주노,왜그런지 모르겠는데 마늘 두큰술 넣었더니 ㄹㅇ 마늘찌개 됐음…,0
2022-11-24T04:07:28Z,2022-11-24T04:07:28Z,아뵤,돼지고기 끓이다보면 위에뜨는거여..그거 걷어내야 하나요?? 난 그게 정말 궁금해요..,0
2022-11-10T00:01:59Z,2022-11-10T00:01:59Z,Jeesue Kim,He's a Food Genius even all over America. Baek Jeong for PRESIDENT!! HE SHARES AND FEEDS US!!! BIDEN HOARDS HE DONT SHARE!!,0
2022-11-09T10:47:44Z,2022-11-09T10:47:44Z,청풍 jong man park,제발   설탕   물엿  적게넣으시오  성인병을 키움니다,0
2022-11-01T02:35:42Z,2022-11-01T02:35:42Z,지민보라해,너무조앙♡,0
2022-10-25T10:37:16Z,2022-10-25T10:37:16Z,공사미,돼지고기 대신 스팸 넣었는데 와 대박 맛있어요 ㅋㅋㅋ 쫄이기 전에는 뭐지?.. 싶었는데 쫄이니까 존맛👍,0
2022-10-23T04:56:59Z,2022-10-23T04:56:59Z,m amott,"돼지고기 대신 참치,당면 넣어도 맛있어요~",0
2022-10-18T20:30:58Z,2022-10-18T20:30:58Z,아로나민,김치 없으면 뭐 넣어야 하나여? 대체할것좀 알려주이소,0
2022-10-11T02:21:49Z,2022-10-11T02:22:57Z,함현주,"어제 마트가서 돼지고기 사서 했는데 
👍 대박 ~~  그낭 물로 했는데 엄청난  맛있었음~~",0
2022-10-05T08:28:10Z,2022-10-05T08:28:10Z,Rainbow Ciel,대박 존경!!! 👍 🌹 👍 🌹 👍 🌹,0
2022-09-27T00:42:55Z,2022-09-27T00:42:55Z,김수진,안녕하세요. 백종원입니다. 이 멘트가 주는 힘이 큰데~~ 제일 먼저 이 멘트가 안나와서 섭섭한데여?,0
2022-09-23T01:11:19Z,2022-09-23T01:11:19Z,유미 강,"요리 겁나  못하고 간 1도 못 맞추는데, 입담덕분에 도전해보고싶은 편안히 차근차근 얘기해주시니 감사합니다.오래함께해주세요!👍☺️💕",0
2022-09-20T09:56:13Z,2022-09-20T09:56:13Z,만능손,저 백종원선생님 미역국 따라해보고 여자친구가 완전 놀래했어요 ㅋㅋㅋ 따라하기도 쉽고 고수가 된 기분입니다 !! 짱짱,0
2022-09-19T00:34:51Z,2022-09-19T00:34:51Z,안순이,백종원선생님레시피최곱니다,0
2022-09-07T10:24:12Z,2022-09-07T10:24:12Z,ㅇㅇ,"백종원이 만든 맛:담백한맛
내가 만든 맛:담배맛",0
2022-09-05T01:40:27Z,2022-09-05T01:40:27Z,keep it going,재료가 없는데 그것들이 자꾸 없어도 된다고 하셔서 참 다행입니다 ㅠㅠ,0
