published_date,updated_date,commentor,comment,like
2021-03-24T14:41:18Z,2021-03-24T14:41:18Z,유 퀴즈 온 더 튜브,English subtitles will be provided on March 26,48486
2022-11-11T16:22:30Z,2022-11-11T16:22:30Z,KingAnBru REACTS,thanks 😁,0
2022-09-04T06:18:40Z,2022-09-04T06:18:40Z,키보드워리어104,ㅇ,0
2022-07-28T16:47:10Z,2022-07-28T16:47:10Z,과일 ♡쮸링 찜 뀨,ㅈ,0
2022-06-04T12:31:06Z,2022-06-04T12:31:06Z,임김김,워후,0
2022-02-27T03:25:59Z,2022-02-27T03:25:59Z,유빈,.,0
2023-01-04T21:43:00Z,2023-01-04T21:43:00Z,Siberite Moon,May be this is my 50th time watching this video...I can't stop coming back and watching this... As an ARMY this video make me feel happy for her and BTS 💜❤️,0
2023-01-04T13:26:28Z,2023-01-04T13:26:28Z,trashcan,this girl has CONFIDENCE,0
2023-01-03T20:22:29Z,2023-01-03T20:22:29Z,MaryG HA,Me encanta su personalidad 😻😂,0
2023-01-03T10:53:15Z,2023-01-03T10:53:15Z,ななぽむ,"まってこんな7人に笑顔で見られたら耐えられないよ( ,,._.,,)テテと一緒に踊ってる羨ましい🥺テテの笑顔可愛すぎるし、ビジュやばい🥺てかみんな好き☺",0
2023-01-03T04:09:28Z,2023-01-03T04:09:28Z,fanny garcia,Yo quiero bailar en frente de bts todas mis canciones favoritas de ellos y que ellos bailen conmigo 💜💜💜💜💜💜🙏😘,1
2023-01-03T00:01:25Z,2023-01-03T00:01:25Z,재기발랄한 활동가,ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ아미아닌데 개웃김ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ여고생이 다했닼ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ,0
2023-01-02T13:25:16Z,2023-01-02T13:25:16Z,زهراء مراد,💋❤,1
2023-01-02T13:24:40Z,2023-01-02T13:24:40Z,زهراء مراد,زهاء,0
2023-01-02T04:43:27Z,2023-01-02T04:43:27Z,Ade Ira,"Its meaning, many people like BTS",1
2023-01-02T00:25:55Z,2023-01-02T00:25:55Z,댓글달면내가지는거다,미친ㄴ 부럽다 ㅜ,0
2023-01-01T22:23:17Z,2023-01-01T22:23:17Z,money ae,1:24  my dream,0
2022-12-31T20:34:07Z,2022-12-31T20:34:07Z,Dia,Dayumm my good lord tae looks adorably handsome in this one😫🔥,1
2022-12-31T20:33:13Z,2022-12-31T20:33:13Z,Dia,Tae's smile is EVERYTHING 😭👀💗✨,2
2022-12-31T12:34:15Z,2022-12-31T12:34:15Z,s  ♡,حلوينيي,0
2022-12-31T10:12:46Z,2022-12-31T10:12:46Z,희0,다른아이돌보다더잘추세요,0
2022-12-31T10:11:59Z,2022-12-31T10:11:59Z,희0,너무잘추세요,0
2022-12-31T10:10:51Z,2022-12-31T10:10:51Z,희0,김정현씨방탄소년단춤을너무잘추세요,0
2022-12-31T10:09:11Z,2022-12-31T10:09:11Z,희0,너무잘추세요,0
2022-12-31T05:25:25Z,2022-12-31T05:25:25Z,김서현,부러워ㅠㅠ,0
2022-12-31T05:17:30Z,2022-12-31T05:17:30Z,Venom,"""She said one word ""
"" I am tired """,1
2022-12-31T02:57:50Z,2022-12-31T02:57:50Z,ReniPKXD,He was lucky to be able to dance in front of Bangtan,0
2022-12-30T20:26:10Z,2022-12-30T20:26:10Z,Boikanyo Mohlake,I cannot stop smiling. Great representation of A.R.M.Y . Love her 💜,2
2022-12-30T17:44:56Z,2022-12-30T17:44:56Z,ajitha raj,It make my day I love it a lot❤❤❤,0
2022-12-29T11:55:26Z,2022-12-29T11:55:26Z,Dia,BTS is Loveeee💜🔥,1
2022-12-29T11:55:05Z,2022-12-29T11:55:05Z,Dia,7:06 Yeah same girl but I would just melt down there if Tae gives me anything 😭😭😭😭😭😭😭😭✨✨✨✨✨,1
2022-12-29T11:53:25Z,2022-12-29T11:53:25Z,Dia,I mean I would prolly faint infront all of em😭✨,1
2022-12-29T11:52:57Z,2022-12-29T11:52:57Z,Dia,Aaarrrrghhhh this is so cute😭♥️✨,1
2022-12-28T21:02:56Z,2022-12-28T21:02:56Z,Solange,Ellos estaban más entusiasmados que ella creo jajajaj,0
2022-12-28T03:21:30Z,2022-12-28T03:21:30Z,Isdad Fatoni,Jiminaaaaaaa,0
2022-12-27T19:03:43Z,2022-12-27T19:03:43Z,BTSARMY💜💜,그녀는 매우 아름다운 댄서입니다💜,0
2022-12-26T13:34:10Z,2022-12-26T13:34:10Z,truth finder,"Finally a generation of South Korea who loves talent and knows who to support instead of following blindly the Big3. especially SM. When G.O.D was about to be kicked out of the group, all the netizens came together, along with idols to protect him. that Generation was Good. Then a Silent generation came who didn't even protest verbally online in order to protect Jessica when she was kicked out of the Group. Instead, those netizens kept supporting SNSD as 8 members shamelessly, just bcz the company was SM. But finally once again a generation has come who values the talent and it doesn't matter if they belongs to a small company.. and bcz of that support, a small and youngest company BigHit is beating SM entertainment's ass .. I'm so glad when i see this.",0
2022-12-25T13:16:11Z,2022-12-25T13:16:11Z,Hada Sekhara,انهم رائعين,0
2022-12-24T20:23:04Z,2022-12-24T20:23:04Z,Naya __core💜🔮,I think tea have a crush on someone 😉😢😳😭,0
2022-12-24T19:13:55Z,2022-12-24T19:13:55Z,علي الاكبر,Tai 💔,0
2022-12-24T13:07:53Z,2022-12-24T13:07:53Z,Bhavna Parihar,What is the name of this girl,0
2022-12-24T10:17:49Z,2022-12-24T10:17:49Z,Mythesky,seru bngttt 😭😭,0
2022-12-24T08:32:54Z,2022-12-24T08:33:19Z,이지모,1:41 3:47,0
2022-12-23T15:21:48Z,2022-12-23T15:21:48Z,R,البنيه خطيه كل ساع وطايحه طيحه😂😂💍,0
2022-12-21T11:17:23Z,2022-12-21T11:17:23Z,nanana,dia siapa?,0
