published_date,updated_date,commentor,comment,like
2023-01-04T08:29:24Z,2023-01-04T08:29:24Z,스타기타,난리났네난리났어 대박이네요!!,0
2022-12-19T23:26:14Z,2022-12-19T23:26:14Z,Xenos X,영화와 드라마에서 원하는 서체 스타일은 사실 폭이 정해져 있음. 서예에는 더 많은 스타일이 있지만 미디어에선 쓰는 스타일만 쓰지..,0
2022-12-15T02:25:17Z,2022-12-15T02:25:17Z,HJ SW,"뒤에나온 남자분 
되게 은은하게 웃긴다 ㅋㅋㅋㅋㅋ 
서예처럼 스며들게 웃김",0
2022-12-10T00:58:28Z,2022-12-10T00:58:28Z,ABC,소녀소녀하시다 ☺️,0
2022-12-06T07:08:24Z,2022-12-06T07:08:24Z,주코,서예로 성공한 1%다.,0
2022-12-04T10:27:08Z,2022-12-04T10:27:08Z,이승룡,아 이제 유~~ 지겹네여. 그만 나왔으면 식상,0
2022-12-01T13:15:39Z,2022-12-01T13:15:39Z,박윤상,이정화님 와 이쁘시네요 붓 글씨 역시 좋네요 ㅋㅋㅋ,0
2022-11-26T22:20:34Z,2022-11-26T22:20:34Z,pil018,글씨체가 이쁘면 사람이 달라보이는 게 있더라는..,1
2022-11-24T22:36:54Z,2022-11-24T22:36:54Z,안내방송,랭하~,0
2022-11-24T17:37:36Z,2022-11-24T17:37:36Z,안블리,10:20 앞에서 정확하게 있는 그대로만 이야기한다고 했는데 진짜 사실 정확하게 이야기하시네여 ㅋㅋㅋㅋㅋ너무 재밌게 봤어요 공무원님!,0
2022-11-24T13:48:39Z,2022-11-24T13:48:39Z,Green- Story,글씨 잘 쓰는 분들 너무 부럽당,0
2022-11-24T13:12:50Z,2022-11-24T13:12:50Z,interesting,헐..,0
2022-11-24T11:12:16Z,2022-11-24T11:12:16Z,뒤에서기어오는사람,자기님이 뭐냐 유치하게,0
2022-11-23T17:31:58Z,2022-11-23T17:31:58Z,층스,와 너무 멋진 직업이네요.. 한 획마다에 영혼ㅠㅠ,0
2022-11-20T00:01:20Z,2022-11-20T00:01:20Z,무적곰팅,와...명필 글씨에 감정이  와...,0
2022-11-15T08:44:48Z,2022-11-15T08:44:48Z,최금수,와...8:09,0
2022-11-13T03:56:30Z,2022-11-13T03:56:30Z,뚜뚜,임명장 다 손수 쓰는거엿구나..,0
2022-11-02T07:24:27Z,2022-11-02T07:24:46Z,RINGCLE BBOO,대필이 아니라 직접 배우로 출연해도 될 거 같은데ㄷㄷ 개이쁘네,0
2022-08-22T19:04:31Z,2022-08-22T19:04:31Z,여이정화,서약,1
2022-08-22T19:04:22Z,2022-08-22T19:04:22Z,여이정화,너무예뻐,1
2022-08-22T19:04:07Z,2022-08-22T19:04:07Z,여이정화,이정화,1
2022-08-22T19:03:59Z,2022-08-22T19:03:59Z,여이정화,글씨,1
2022-08-22T19:03:52Z,2022-08-22T19:03:52Z,여이정화,너무노래좋아,1
2022-06-14T10:19:03Z,2022-06-14T10:19:03Z,MM K,다시봐도  매력잇으신  서예가님  그냥  보면 기분이 좋아요,4
2022-06-13T15:10:50Z,2022-06-13T15:10:50Z,River,"이런거 보면 나도 좀 어렸을 때부터 뭔가를 진득히 교육받았으면 어땠을까 싶어짐
내게도 천직이라는 것이 있을까, 있다면 뭘까, 그런 생각들고...",0
2022-04-21T22:49:30Z,2022-04-21T22:49:30Z,jjas Adrien,그냥 대충 쓰는데 ?,0
2022-04-17T00:21:26Z,2022-04-17T00:21:26Z,김민정,우와~~ 글씨에도 표현이 👍👍👍👍,6
2022-04-15T17:51:04Z,2022-04-15T17:51:04Z,June Hee Han,"서예가님 외모도 글씨체도 너무 예쁘고 사랑스러우세요
꽃길만 걸으시길 바래요!!",5
2022-04-15T03:33:06Z,2022-04-15T03:33:06Z,Emotion!,"난리났네 난리났어
멋있다~",2
2022-04-14T08:16:33Z,2022-04-14T08:16:33Z,착한사람,ㅋㅋ,2
2022-04-13T14:19:36Z,2022-04-13T14:19:36Z,몬그램 채널,굥이나온다고?! 유퀴즈에?!,0
2022-04-08T12:46:59Z,2022-04-08T12:46:59Z,오,성격 완전 깨발랄하시네ㅋㅋ,2
2022-03-30T05:20:32Z,2022-03-30T05:20:32Z,혼돈의 부랄,남성분  찐  공무원ㅋㅋ,0
2022-03-25T04:49:22Z,2022-03-25T04:49:22Z,영감,"서예 !!
예술 그 자체네 
멋있습니다.
응원 합니다.",2
2022-03-24T01:15:44Z,2022-03-24T01:15:44Z,SR Lee,아름답네요!!,2
2022-03-23T00:49:59Z,2022-03-23T00:49:59Z,은빛동전,대장금은. 백퍼 안썼다는 얘기네. 본인이썼으면. 기억이. 안날리가 ㅋㅋㅋㅋ,0
2022-03-21T07:41:52Z,2022-03-21T07:41:52Z,상남자,곱다....얼굴이,2
2022-03-13T05:22:56Z,2022-03-13T05:24:45Z,yooringonghan,"와 근데 진짜로 사극 촬영,드라마 로고의 시키는 서예가들이 진짜 궁금함
(그리고 ""백일의 낭군님"" 오프닝 브금 잘 들리누)",5
2022-03-12T14:56:59Z,2022-03-12T14:56:59Z,Hyunsung Kim,글서가 참 단아하다,2
