date,stock_name,stock_code,option
2019-10-29,하나니켈,,상폐
2019-10-30,SM,63440,SM Life Design
2019-10-30,화이브라더스코리아,,상폐
2019-11-01,MP한강,,상폐
2019-11-04,필룩스,33180,KH필룩스
2019-11-04,넥스트사이언스,,상폐
2019-11-04,현진소재,,상폐
2019-11-05,카리스국보,1140,국보
2019-11-05,필룩스,33180,KH필룩스
2019-11-06,필룩스,33180,KH필룩스
2019-11-07,한류AI센터,222810,세토피아
2019-11-08,현성바이탈,,상폐
2019-11-11,CJ헬로,37560,LG헬로비전
2019-11-14,필룩스,33180,KH필룩스
2019-11-15,넥슨지티,,상폐
2019-11-19,세미콘라이트,,상폐
2019-11-19,유니맥스글로벌,215090,휴센텍
2019-11-20,나노스,151910,SBW생명과학
2019-11-22,미래SCI,,상폐
2019-11-25,SK바이오랜드,,상폐
2019-11-26,에이치엘비생명과학,,상폐
2019-11-29,세원,234100,폴라리스세원
2019-12-05,라이브플렉스,50120,ES큐브
2019-12-06,젬백스지오,41590,플래스크
2019-12-09,이더블유케이,,상폐
2019-12-09,일진디스플레이,,상폐
2019-12-10,현대에이치씨엔,126560,현대퓨처넷보통주
2019-12-11,화신테크,,상폐
2019-12-13,코리아에스이,,상폐
2019-12-16,갤럭시아컴즈,94480,갤럭시아머니트리
2019-12-19,화신테크,,상폐
2019-12-20,에스모,,상폐
2019-12-23,우성사료,,상폐
2019-12-24,에스모머티리얼즈,,상폐
2019-12-26,제낙스,,상폐
2019-12-27,루미마이크로,82800,비보존제약
2020-11-02,글로스퍼랩스,32860,휴먼엔
2020-11-10,인터파크,35080,그래디언트
2020-11-11,넥슨지티,,상폐
2020-11-18,켐온,,상폐
2020-11-18,코리아센터,,상폐
2020-11-19,애경유화,161000,애경케미칼보통주
2020-11-25,비티원,101140,인바이오젠보통주
2020-11-25,코디엠,224060,더코디
2020-11-25,금일,,상폐
2020-11-27,한국테크놀로지그룹,240,한국앤컴퍼니보통주
2020-12-04,대호피앤씨,21040,대호특수강
2020-12-07,녹십자랩셀,144510,지씨셀
2020-12-07,신풍제지,2870,신풍보통주
2020-12-10,백금T,46310,백금티앤에이
2020-12-11,휴켐스,69260,티케이지휴켐스보통주
2020-12-14,테라셈,,상폐
2020-12-17,인프라웨어,,상폐
2020-12-18,형지I,,상폐
2020-12-18,누리텔레콤,,상폐
2020-12-21,디지탈옵틱,,상폐
2020-12-21,센트럴바이오,,상폐
2020-12-23,디지탈옵틱,,상폐
2020-12-24,디지탈옵틱,,상폐
2021-11-01,휴켐스,69260,티케이지휴켐스보통주
2021-11-02,넷게임즈,225570,넥슨게임즈
2021-11-03,휴켐스,69260,티케이지휴켐스보통주
2021-11-09,퓨처켐,220100,퓨쳐켐
2021-11-15,블루베리NFT,,상폐
2021-11-17,넷게임즈,225570,넥슨게임즈
2021-11-18,넷게임즈,225570,넥슨게임즈
2021-11-29,두산중공업,34020,두산에너빌리티보통주
2021-11-30,청담러닝,96240,크레버스
2021-12-10,에디슨EV,136510,스마트솔루션즈
2022-01-04,나노스,151910,SBW생명과학
2022-01-19,동국S,100130,동국에스엔씨
2022-01-26,육일씨엔에스,191410,육일씨엔에쓰
2022-02-09,넥슨지티,,상폐
2022-02-10,넥슨지티,,상폐
2022-03-02,넷게임즈,225570,넥슨게임즈
2022-03-04,마이더스AI,222810,세토피아
2022-03-11,리더스기술투자,19570,리더스 기술투자
2022-04-13,LG헬로비젼,37560,LG헬로비전
2022-04-15,무림P,9580,무림피앤피보통주
2022-05-03,원익머티리얼즈,104830,원익머트리얼즈
2022-05-26,포스코ICT,22100,포스코아이씨티
2022-05-30,SM,63440,SM Life Design
2022-06-08,동국S,100130,동국에스엔씨
2022-06-09,KH필룩스,33180,KH필룩스
2022-07-14,KTIS,58860,케이티아이에스보통주
2022-07-21,블루베리NFT,,상폐
2022-08-03,SM,63440,SM Life Design
2022-09-07,세림B,340440,세림비앤지
2022-09-19,삼성스펙,,상폐
2022-10-13,EV수성,84180,수성샐바시온
2022-10-21,WI,,상폐
2022-10-26,BNGT,32790,비엔지티
2022-10-26,EV수성,84180,수성샐바시온
2022-11-01,SM,63440,SM Life Design
2022-12-05,우리손에프엔지,73560,우리손에프앤지 농업회사법인
2022-12-12,오픈엣지테크놀러지,394280,오픈엣지테크놀로지
2023-01-18,YG,37270,와이지플러스보통주
2023-02-06,KGETS,151860,케이지이티에스
