date,stock_name,stock_code
2019-10-29,알리코제약,260660
2019-10-29,KPX생명과학,114450
2019-10-29,제일바이오,052670
2019-10-30,아스타,246720
2019-10-30,SM,063440
2019-10-30,SM,063440
2019-10-30,광진실업,026910
2019-10-30,SM,063440
2019-10-30,SM,063440
2019-10-31,알로이스,297570
2019-10-31,옴니시스템,057540
2019-10-31,룽투코리아,060240
2019-10-31,넥스트아이,137940
2019-11-01,하이트진로홀딩스우,000145
2019-11-01,한국팩키지,037230
2019-11-01,진바이오텍,086060
2019-11-04,필룩스,033180
2019-11-04,금호전기,001210
2019-11-04,필룩스,033180
2019-11-04,필룩스,033180
2019-11-04,필룩스,033180
2019-11-05,카리스국보,001140
2019-11-05,필룩스,033180
2019-11-05,필룩스,033180
2019-11-05,필룩스,033180
2019-11-05,필룩스,033180
2019-11-05,플리토,300080
2019-11-06,케이피엠테크,042040
2019-11-06,필룩스,033180
2019-11-06,필룩스,033180
2019-11-06,필룩스,033180
2019-11-06,필룩스,033180
2019-11-06,비덴트,121800
2019-11-07,한류AI센터,222810
2019-11-07,KT서브마린,060370
2019-11-07,서연탑메탈,019770
2019-11-07,알리코제약,260660
2019-11-08,한국화장품,123690
2019-11-08,윙입푸드,900340
2019-11-08,일야,058450
2019-11-11,CJ헬로,037560
2019-11-11,큐브엔터,182360
2019-11-11,한섬,020000
2019-11-11,유엔젤,072130
2019-11-12,SDN,099220
2019-11-12,서울제약,018680
2019-11-12,장원테크,174880
2019-11-12,케이씨티,089150
2019-11-13,제넨바이오,072520
2019-11-13,콤텍시스템,031820
2019-11-13,우원개발,046940
2019-11-13,에스맥,097780
2019-11-14,종근당바이오,063160
2019-11-14,광림,014200
2019-11-14,웰크론,065950
2019-11-14,필룩스,033180
2019-11-14,필룩스,033180
2019-11-14,필룩스,033180
2019-11-14,필룩스,033180
2019-11-15,프럼파스트,035200
2019-11-15,유라테크,048430
2019-11-15,보락,002760
2019-11-18,이글벳,044960
2019-11-18,유엔젤,072130
2019-11-18,두산퓨얼셀,336260
2019-11-18,흥아해운,003280
2019-11-19,이구산업,025820
2019-11-19,큐로컴,040350
2019-11-19,유니맥스글로벌,215090
2019-11-20,나노스,151910
2019-11-20,금호에이치티,214330
2019-11-20,오성첨단소재,052420
2019-11-20,나노스,151910
2019-11-21,성안,011300
2019-11-21,진양제약,007370
2019-11-21,큐로홀딩스,051780
2019-11-21,에스코넥,096630
2019-11-22,하이로닉,149980
2019-11-22,파버나인,177830
2019-11-25,장원테크,174880
2019-11-25,예림당,036000
2019-11-25,옴니시스템,057540
2019-11-26,남화토건,091590
2019-11-26,캐리소프트,317530
2019-11-26,윙입푸드,900340
2019-11-27,제이웨이,058420
2019-11-27,케이엠제약,225430
2019-11-27,나노엔텍,039860
2019-11-28,제이웨이,058420
2019-11-28,옴니시스템,057540
2019-11-28,신신제약,002800
2019-11-28,SK디스커버리우,006125
2019-11-29,한국맥널티,222980
2019-11-29,세원,234100
2019-11-29,유엔젤,072130
2019-12-02,케이씨에스,115500
2019-12-02,소프트센,032680
2019-12-02,상신전자,263810
2019-12-03,알테오젠,196170
2019-12-03,화신정공,126640
2019-12-03,한국맥널티,222980
2019-12-04,한창제지,009460
2019-12-04,코리아나,027050
2019-12-04,한국화장품,123690
2019-12-05,라이브플렉스,050120
2019-12-05,콤텍시스템,031820
2019-12-05,원풍물산,008290
2019-12-05,베셀,177350
2019-12-06,흥아해운,003280
2019-12-06,케어랩스,263700
2019-12-06,젬백스지오,041590
2019-12-06,상신전자,263810
2019-12-09,세우글로벌,013000
2019-12-09,진바이오텍,086060
2019-12-10,해성디에스,195870
2019-12-10,경남스틸,039240
2019-12-10,한독크린텍,256150
2019-12-10,현대에이치씨엔,126560
2019-12-11,덕양산업,024900
2019-12-11,제이씨현시스템,033320
2019-12-11,화천기계,010660
2019-12-12,지엘팜텍,204840
2019-12-12,수산중공업,017550
2019-12-12,아난티,025980
2019-12-12,테스,095610
2019-12-12,SK케미칼우,28513K
2019-12-13,아난티,025980
2019-12-13,한국화장품,123690
2019-12-13,한국화장품제조,003350
2019-12-16,SV인베스트먼트,289080
2019-12-16,컴퍼니케이,307930
2019-12-16,갤럭시아컴즈,094480
2019-12-16,에스텍파마,041910
2019-12-17,줌인터넷,239340
2019-12-17,KPX생명과학,114450
2019-12-17,넥스트아이,137940
2019-12-18,큐캐피탈,016600
2019-12-18,SDN,099220
2019-12-18,CMG제약,058820
2019-12-18,태웅로직스,124560
2019-12-19,범양건영,002410
2019-12-19,리노스,039980
2019-12-19,코리안리,003690
2019-12-20,아이텍,119830
2019-12-20,주연테크,044380
2019-12-20,중앙에너비스,000440
2019-12-23,쌍용차,003620
2019-12-23,일야,058450
2019-12-23,범양건영,002410
2019-12-24,동구바이오제약,006620
2019-12-24,태양금속,004100
2019-12-24,한일진공,123840
2019-12-26,넥스트아이,137940
2019-12-26,디앤씨미디어,263720
2019-12-26,한국화장품,123690
2019-12-27,루미마이크로,082800
