date,stock_name,stock_code,end_date,br_pr_D1,tr_pr_D0,tr_hpr_D0,Volume_D10,Volume_D9,Volume_D8,Volume_D7,Volume_D6,Volume_D5,Volume_D4,Volume_D3,Volume_D2,Volume_D1,tr_vol_D0,lpr_D10,lpr_D9,lpr_D8,lpr_D7,lpr_D6,lpr_D5,lpr_D4,lpr_D3,lpr_D2,lpr_D1,gap_change,mean_vlome,today_vlome,vlome_change,slope,day_change,deter_change
2019-10-29,알리코제약,260660,20191029,12200,13400,15000,297063,4456192,510865,352395,297777,326660,969583,246112,122387,1925148,5115955,11750,11750,12500,12100,12200,12300,12650,12050,11750,11600,0.098360655737705,759403.4,5115955,5.736808131225117,-0.0008257085471992,1600,1
2019-10-29,KPX생명과학,114450,20191029,6880,7380,8940,38177,71671,97918,86861,4941970,9614355,1349265,1154676,8135306,5500002,7226351,3975,3990,3970,3970,4000,4390,4830,4735,4925,6250,0.072674418604651,2549913.9,7226351,1.8339588250411123,0.0035469641018701,1560,1
2019-10-29,제일바이오,052670,20191029,4825,5590,6260,2339859,10716840,1818905,2128756,1858294,1614311,1881342,974744,942398,3580814,25005590,5070,4990,5130,5060,5060,4820,4665,4540,4425,4510,0.1585492227979275,2428170.9,25005590,9.29811781370084,-0.0101787563188988,670,1
2019-10-30,아스타,246720,20191030,7760,8020,9990,5096,12960,1992,7858,4612,6383,13511,9833,234641,1309661,4124096,4730,4695,4690,4670,4740,4670,4595,4550,5080,6890,0.0335051546391753,30687.6,4124096,133.3896557567226,0.0023780383545864,1970,1
2019-10-30,SM,063440,20191030,2365,2670,2770,50147257,21034570,21489661,15541746,4445679,13797257,27005706,12792109,17221417,14311347,29449419,2180,2135,2140,2050,2080,2105,2045,2260,2160,2145,0.1289640591966172,18347817.2,29449419,0.6050638982821346,0.0062834224598932,100,1
2019-10-30,SM,063440,20191030,2365,2670,2770,50147257,21034570,21489661,15541746,4445679,13797257,27005706,12792109,17221417,14311347,29449419,2180,2135,2140,2050,2080,2105,2045,2260,2160,2145,0.1289640591966172,18347817.2,29449419,0.6050638982821346,0.0062834224598932,100,1
2019-10-30,광진실업,026910,20191030,4110,4520,4720,748660,750375,1512332,535381,1199988,175661,197354,140197,252218,4014985,3350280,4190,4125,4510,4235,4145,4235,4100,4085,3940,3920,0.0997566909975669,551688.6,3350280,5.072773662533538,-0.0123298767012329,200,1
2019-10-30,SM,063440,20191030,2365,2670,2770,50147257,21034570,21489661,15541746,4445679,13797257,27005706,12792109,17221417,14311347,29449419,2180,2135,2140,2050,2080,2105,2045,2260,2160,2145,0.1289640591966172,18347817.2,29449419,0.6050638982821346,0.0062834224598932,100,1
2019-10-30,SM,063440,20191030,2365,2670,2770,50147257,21034570,21489661,15541746,4445679,13797257,27005706,12792109,17221417,14311347,29449419,2180,2135,2140,2050,2080,2105,2045,2260,2160,2145,0.1289640591966172,18347817.2,29449419,0.6050638982821346,0.0062834224598932,100,1
2019-10-31,알로이스,297570,20191031,2430,2550,3000,1207019,138240,66332,73468,46193,78828,39376,44111,54378,41520,4060619,2390,2455,2400,2410,2390,2385,2340,2320,2320,2385,0.0493827160493827,175094.5,4060619,22.19101399529968,-0.0502426044764434,450,1
2019-10-31,옴니시스템,057540,20191031,1730,1935,2015,78772,74540,395717,158538,173277,124634,175483,119885,808906,610371,6315691,1700,1685,1710,1685,1665,1645,1630,1670,1685,1700,0.1184971098265896,211176.7,6315691,28.907139376645244,-0.0334056399132319,80,1
2019-10-31,룽투코리아,060240,20191031,6500,7010,7500,188569,163644,255838,157722,137665,144972,422961,197476,119718,2086592,6157418,5700,5680,5400,5430,5460,5400,5410,5270,5270,5420,0.0784615384615383,179606.5,6157418,33.282823839894434,-0.016396933560477,490,1
2019-10-31,넥스트아이,137940,20191031,1465,1500,1745,296159,145223,339440,126044,207114,154314,185807,149235,511344,1012545,7624735,1305,1295,1285,1305,1275,1295,1310,1320,1325,1375,0.023890784982935,211642.5,7624735,35.0264833386489,0.0761973875181429,245,1
2019-11-01,하이트진로홀딩스우,000145,20191101,18100,19050,19650,448367,153322,159928,41912,79494,39368,20059,16495,11058,42064,53871,17500,17750,17700,18250,18150,18050,17800,17750,17700,17900,0.0524861878453037,98965.3,53871,-0.4556576901196681,0.0021254536029031,600,1
2019-11-01,한국팩키지,037230,20191101,2080,2280,2550,43594,27397,73913,32415,110872,169982,961280,101946,112762,96907,6432404,2015,2010,2020,1980,1975,1975,2000,2020,2020,2040,0.0961538461538462,163671.1,6432404,38.30079287058008,0.0396869759642267,270,1
2019-11-01,진바이오텍,086060,20191101,5920,6080,7690,635086,449293,496300,695517,302498,191311,486740,7688900,7698417,10014865,17227077,5220,5220,5030,4960,4915,4980,5000,5310,5240,5850,0.0270270270270269,1865175.2,17227077,8.236170950589521,0.0053933813474337,1610,1
2019-11-04,필룩스,033180,20191104,7010,7240,9110,55635392,44658603,29698550,14136796,19149001,11165426,10567765,7921411,64176728,18368452,82940959,6740,6710,7040,6510,6630,6200,6040,5990,5890,6820,0.0328102710413695,25711878.2,82940959,2.225783754685024,-0.0042401663853894,1870,1
2019-11-04,금호전기,001210,20191104,2260,2350,2935,0,0,0,0,171519,101513,74861,61566,55607,154692,3059044,2280,2280,2280,2280,2220,2100,2085,2045,2035,2040,0.0398230088495574,46800.1,3059044,64.36404836741802,-0.0253585670536914,585,1
