br_pr_D1,tr_pr_D0,tr_hpr_D0,Volume_D10,Volume_D9,Volume_D8,Volume_D7,Volume_D6,Volume_D5,Volume_D4,Volume_D3,Volume_D2,Volume_D1,tr_vol_D0,lpr_D10,lpr_D9,lpr_D8,lpr_D7,lpr_D6,lpr_D5,lpr_D4,lpr_D3,lpr_D2,lpr_D1
12200,13400,15000,297063,4456192,510865,352395,297777,326660,969583,246112,122387,1925148,5115955,11750,11750,12500,12100,12200,12300,12650,12050,11750,11600
6880,7380,8940,38177,71671,97918,86861,4941970,9614355,1349265,1154676,8135306,5500002,7226351,3975,3990,3970,3970,4000,4390,4830,4735,4925,6250
4825,5590,6260,2339859,10716840,1818905,2128756,1858294,1614311,1881342,974744,942398,3580814,25005590,5070,4990,5130,5060,5060,4820,4665,4540,4425,4510
7760,8020,9990,5096,12960,1992,7858,4612,6383,13511,9833,234641,1309661,4124096,4730,4695,4690,4670,4740,4670,4595,4550,5080,6890
2365,2670,2770,50147257,21034570,21489661,15541746,4445679,13797257,27005706,12792109,17221417,14311347,29449419,2180,2135,2140,2050,2080,2105,2045,2260,2160,2145
2365,2670,2770,50147257,21034570,21489661,15541746,4445679,13797257,27005706,12792109,17221417,14311347,29449419,2180,2135,2140,2050,2080,2105,2045,2260,2160,2145
4110,4520,4720,748660,750375,1512332,535381,1199988,175661,197354,140197,252218,4014985,3350280,4190,4125,4510,4235,4145,4235,4100,4085,3940,3920
2365,2670,2770,50147257,21034570,21489661,15541746,4445679,13797257,27005706,12792109,17221417,14311347,29449419,2180,2135,2140,2050,2080,2105,2045,2260,2160,2145
2365,2670,2770,50147257,21034570,21489661,15541746,4445679,13797257,27005706,12792109,17221417,14311347,29449419,2180,2135,2140,2050,2080,2105,2045,2260,2160,2145
2430,2550,3000,1207019,138240,66332,73468,46193,78828,39376,44111,54378,41520,4060619,2390,2455,2400,2410,2390,2385,2340,2320,2320,2385
1730,1935,2015,78772,74540,395717,158538,173277,124634,175483,119885,808906,610371,6315691,1700,1685,1710,1685,1665,1645,1630,1670,1685,1700
6500,7010,7500,188569,163644,255838,157722,137665,144972,422961,197476,119718,2086592,6157418,5700,5680,5400,5430,5460,5400,5410,5270,5270,5420
1465,1500,1745,296159,145223,339440,126044,207114,154314,185807,149235,511344,1012545,7624735,1305,1295,1285,1305,1275,1295,1310,1320,1325,1375
18100,19050,19650,448367,153322,159928,41912,79494,39368,20059,16495,11058,42064,53871,17500,17750,17700,18250,18150,18050,17800,17750,17700,17900
2080,2280,2550,43594,27397,73913,32415,110872,169982,961280,101946,112762,96907,6432404,2015,2010,2020,1980,1975,1975,2000,2020,2020,2040
5920,6080,7690,635086,449293,496300,695517,302498,191311,486740,7688900,7698417,10014865,17227077,5220,5220,5030,4960,4915,4980,5000,5310,5240,5850
7010,7240,9110,55635392,44658603,29698550,14136796,19149001,11165426,10567765,7921411,64176728,18368452,82940959,6740,6710,7040,6510,6630,6200,6040,5990,5890,6820
2260,2350,2935,0,0,0,0,171519,101513,74861,61566,55607,154692,3059044,2280,2280,2280,2280,2220,2100,2085,2045,2035,2040
7010,7240,9110,55635392,44658603,29698550,14136796,19149001,11165426,10567765,7921411,64176728,18368452,82940959,6740,6710,7040,6510,6630,6200,6040,5990,5890,6820
7010,7240,9110,55635392,44658603,29698550,14136796,19149001,11165426,10567765,7921411,64176728,18368452,82940959,6740,6710,7040,6510,6630,6200,6040,5990,5890,6820
7010,7240,9110,55635392,44658603,29698550,14136796,19149001,11165426,10567765,7921411,64176728,18368452,82940959,6740,6710,7040,6510,6630,6200,6040,5990,5890,6820
3550,3680,4580,2372571,1438381,2137357,864469,2452847,2439125,1386234,1174799,636299,1330216,10395018,3470,3210,3300,3175,3145,3130,3450,3300,3300,3290
9110,9740,10100,44658603,29698550,14136796,19149001,11165426,10567765,7921411,64176728,18368452,82940959,62400351,6710,7040,6510,6630,6200,6040,5990,5890,6820,7190
9110,9740,10100,44658603,29698550,14136796,19149001,11165426,10567765,7921411,64176728,18368452,82940959,62400351,6710,7040,6510,6630,6200,6040,5990,5890,6820,7190
9110,9740,10100,44658603,29698550,14136796,19149001,11165426,10567765,7921411,64176728,18368452,82940959,62400351,6710,7040,6510,6630,6200,6040,5990,5890,6820,7190
9110,9740,10100,44658603,29698550,14136796,19149001,11165426,10567765,7921411,64176728,18368452,82940959,62400351,6710,7040,6510,6630,6200,6040,5990,5890,6820,7190
22000,23800,25250,235418,423783,172175,252526,1661048,174276,151038,213067,128357,279690,1208900,21850,22000,22750,22850,22250,22550,22600,23000,22850,21650
1160,1205,1505,939673,915230,646756,4448917,1179315,564805,602045,2170455,2305449,25209605,53666978,997,980,980,983,1005,1010,1005,1015,1025,1040
8950,9110,9560,29698550,14136796,19149001,11165426,10567765,7921411,64176728,18368452,82940959,62400351,39550507,7040,6510,6630,6200,6040,5990,5890,6820,7190,8950
8950,9110,9560,29698550,14136796,19149001,11165426,10567765,7921411,64176728,18368452,82940959,62400351,39550507,7040,6510,6630,6200,6040,5990,5890,6820,7190,8950
8950,9110,9560,29698550,14136796,19149001,11165426,10567765,7921411,64176728,18368452,82940959,62400351,39550507,7040,6510,6630,6200,6040,5990,5890,6820,7190,8950
8950,9110,9560,29698550,14136796,19149001,11165426,10567765,7921411,64176728,18368452,82940959,62400351,39550507,7040,6510,6630,6200,6040,5990,5890,6820,7190,8950
12250,13100,14500,411067,375867,614516,6410234,933971,2240948,2939200,0,420258,9858253,8751038,8610,8700,8800,9500,9300,9720,10850,11750,15250,12050
514,564,660,268189,543839,668500,169830,269897,784692,547871,367950,376979,11602793,22263506,372,379,382,380,380,380,385,390,388,387
3075,3250,3810,38661,35466,72712,121494,23161,26407,12340,165299,231768,71058,7575574,2910,2905,2870,2860,2870,2880,2885,2910,2935,3060
3000,3410,3580,73167,75651,170330,123762,94090,61111,92580,117592,122070,472355,4702410,2665,2735,2800,2870,2780,2780,2800,2870,2875,2880
16450,16700,18000,246112,122387,1925148,5115955,7203573,8150704,8841541,1407809,5660755,2984944,2232649,12050,11750,11600,12600,12800,14250,14700,15350,15100,16450
8490,9040,9890,63275,56970,38683,429551,551412,185342,118299,134987,103010,70178,1853792,7800,7870,7920,7900,8180,8420,8360,8450,8520,8460
2030,2370,2635,502016,486280,321403,311224,332369,337552,396992,8080710,1070881,1086306,24299334,1900,1895,1915,1910,1895,1895,1910,1965,2045,2015
1725,1800,1995,429485,108056,71857,48913,75526,423246,5989271,4555837,1181470,435600,4922811,1385,1390,1375,1350,1330,1300,1395,1575,1690,1670
6600,6970,7220,85577,103728,59553,101181,321057,377709,440014,570140,304637,647312,2841769,6120,6080,6080,6030,6050,6060,6260,6220,6310,6330
3915,4500,5080,627731,609913,474538,366210,344316,636176,748073,372215,1998935,14240948,9582679,2530,2650,2650,2610,2575,2600,2710,2800,2835,3060
31500,33000,34650,60352,43217,53763,50362,28385,45597,45494,181037,84911,114090,258442,29500,29450,28850,29050,28850,29200,29400,29550,30900,30450
4520,4900,5870,85047,59746,34989,38682,22528,38902,32278,39316,654304,1455215,6824041,3730,3760,3755,3785,3810,3830,3800,3840,3865,4110
2550,2635,2745,19543925,15088797,3809429,13300113,39085841,11425061,11657051,6320471,5615519,35616369,11315930,1550,1770,1810,1795,2000,2380,2265,2225,2255,2360
6810,7030,8420,6672,12677,24225,13852,14627,141991,66036,30351,19088,22365,3418535,6460,6440,6480,6530,6620,6660,6920,6860,6820,6640
2450,2645,2835,291272,154089,434015,270445,972256,283088,200162,215362,124929,329537,4367721,2280,2305,2320,2380,2410,2430,2420,2415,2410,2390
