stock_code,bf_price,tr_price,D-5,D-4,D-3,D-2,D-1,D-day
260660,7830,8599,508967,1510701,383465,190690,2999561,7971137
114450,6880,7380,9614355,1349265,1154676,8135306,5500002,7226351
052670,2487,2881,1614311,1881342,974744,942398,3580814,25005590
246720,7760,8020,6383,13511,9833,234641,1309661,4124096
063440,2365,2670,13797257,27005706,12792109,17221417,14311347,29449419
063440,2365,2670,13797257,27005706,12792109,17221417,14311347,29449419
026910,4110,4520,175661,197354,140197,252218,4014985,3350280
063440,2365,2670,13797257,27005706,12792109,17221417,14311347,29449419
063440,2365,2670,13797257,27005706,12792109,17221417,14311347,29449419
297570,1217,1277,157407,78628,88083,108584,82909,8108428
057540,1730,1935,124634,175483,119885,808906,610371,6315691
060240,6500,7010,144972,422961,197476,119718,2086592,6157418
137940,1465,1500,154314,185807,149235,511344,1012545,7624735
000145,18100,19050,39368,20059,16495,11058,42064,53871
037230,2080,2280,169982,961280,101946,112762,96907,6432404
086060,5920,6080,191311,486740,7688900,7698417,10014865,17227077
033180,6501,6713,11165426,10567765,7921411,64176728,18368452,82940959
001210,2260,2350,101513,74861,61566,55607,154692,3059044
033180,6501,6713,11165426,10567765,7921411,64176728,18368452,82940959
033180,6501,6713,11165426,10567765,7921411,64176728,18368452,82940959
033180,6501,6713,11165426,10567765,7921411,64176728,18368452,82940959
001140,3550,3680,2439125,1386234,1174799,636299,1330216,10395018
033180,8448,9033,10567765,7921411,64176728,18368452,82940959,62400351
033180,8448,9033,10567765,7921411,64176728,18368452,82940959,62400351
033180,8448,9033,10567765,7921411,64176728,18368452,82940959,62400351
033180,8448,9033,10567765,7921411,64176728,18368452,82940959,62400351
300080,22000,23800,174276,151038,213067,128357,279690,1208900
042040,1160,1205,564805,602045,2170455,2305449,25209605,53666978
033180,8300,8447,7921411,64176728,18368452,82940959,62400351,39550507
033180,8300,8447,7921411,64176728,18368452,82940959,62400351,39550507
033180,8300,8447,7921411,64176728,18368452,82940959,62400351,39550507
033180,8300,8447,7921411,64176728,18368452,82940959,62400351,39550507
121800,12250,13100,2240948,2939200,0,420258,9858253,8751038
222810,2285,2507,176476,123216,82752,84783,2609464,5007053
060370,3075,3250,26407,12340,165299,231768,71058,7575574
019770,3000,3410,61111,92580,117592,122070,472355,4702410
260660,10558,10717,12699560,13775949,2193498,8819986,4650822,3478676
123690,8490,9040,185342,118299,134987,103010,70178,1853792
900340,2030,2370,337552,396992,8080710,1070881,1086306,24299334
058450,1827,1905,399609,5654794,4301412,1115490,411273,4647892
037560,6600,6970,377709,440014,570140,304637,647312,2841769
182360,9816,11282,253740,298370,148459,797279,5680030,3822070
020000,31500,33000,45597,45494,181037,84911,114090,258442
072130,4520,4900,38902,32278,39316,654304,1455215,6824041
099220,2550,2635,11425061,11657051,6320471,5615519,35616369,11315930
018680,7894,8148,122496,56970,26184,16467,19294,2949187
174880,12250,13225,283088,200162,215362,124929,329537,4367721
089150,2350,2515,40355,26299,46014,21141,556948,3905280
072520,6510,7010,228048,253321,283148,139107,148655,1873360
031820,1123,1148,620893,1926104,761989,909643,1171542,103194370
046940,6400,6590,4442889,552365,780157,1247603,1929704,9858753
097780,3636,3922,2083017,4887555,1028838,664309,5388475,10359270
063160,28459,30413,27971,22760,63806,24899,55148,402842
014200,2395,2470,100572,188105,73124,186929,116271,465976
065950,3785,3905,412853,233755,288918,201212,576018,6616759
033180,7799,8300,24835468,24184006,14160124,11209202,21110908,69503604
033180,7799,8300,24835468,24184006,14160124,11209202,21110908,69503604
033180,7799,8300,24835468,24184006,14160124,11209202,21110908,69503604
033180,7799,8300,24835468,24184006,14160124,11209202,21110908,69503604
035200,3155,3285,30753,54334,20133,11533,93566,3776890
048430,5300,5440,8137,10888,9400,6723,17971,1954861
002760,2075,2230,658677,366819,446949,1219474,703223,13607895
044960,7420,7680,546081,329616,5790231,13416556,1907830,22804695
072130,5520,5690,6824041,2092906,3952128,2137582,1214051,2833432
336260,8674,8997,1083346,1688553,3471460,3013793,35194759,10168101
003280,4032,4369,1332956,539039,3262287,857690,8492928,10595120
025820,1615,1620,44814,246335,85560,119236,95790,852899
040350,1550,1685,215662,403049,423165,439300,10162120,32256168
215090,2221,2402,1894756,669612,594482,262347,472669,3701369
151910,5450,6350,610212,478679,1688201,1545369,1331557,2283106
214330,2099,2278,224847,190917,91711,120399,2442533,8008459
052420,2562,2589,7773733,5856625,9241825,8307506,11994535,99291643
151910,5450,6350,610212,478679,1688201,1545369,1331557,2283106
011300,549,578,245920,54907,189484,12123043,19067506,24087062
007370,3930,4285,62178,39738,74611,125496,166053,12731213
051780,654,679,115996,106975,15020786,23384095,23644579,19945302
096630,1940,1990,4084535,1750134,3248888,5722624,3924537,13408527
149980,5005,5501,46173,637494,533774,235300,829862,1805726
177830,5600,5750,2236496,666913,6070717,3548194,3730725,2669379
174880,15875,16525,5030240,53515805,30493611,11084020,4202537,10460166
036000,3630,3855,42960,76348,109668,166307,138132,195927
057540,1740,1785,163127,218120,336689,255147,429960,45109959
091590,14300,14600,2392826,695301,1055606,633643,544451,2755124
317530,10250,10450,2945911,548477,597187,1784052,567834,1554619
900340,2345,2460,1711538,2338188,1540977,707329,3528777,8113750
058420,10666,11695,119287,1264919,1524747,419474,1387077,4345508
225430,2724,2857,356383,280722,179816,157076,17816322,37193689
039860,5190,5270,136230,94576,3535728,1649098,728321,16750622
058420,10980,11212,1264919,1524747,419474,1387077,4345508,8011292
057540,2180,2220,255147,429960,45109959,28618949,18810550,12784889
002800,6910,7140,173128,80202,58895,52994,667888,1482129
006125,21750,23000,10430,198121,65527,1106296,1264361,1078006
222980,5505,5804,6321,27154,7366,3340,426861,2753076
234100,2874,3041,329509,222025,169826,8491489,5455870,20604071
072130,5930,6070,693949,1863370,1125179,643389,2631943,20826478
115500,4500,4630,114315,32679,30707,33608,43036,331967
032680,2300,2350,25210528,37793970,8330502,6280751,47535056,42622664
263810,3260,3460,27500,31091,19439,23691,119391,6822530
196170,18023,20330,1054431,1059260,732557,1347764,638113,20267242
126640,1180,1245,141640,161062,96771,84015,139709,39040517
222980,5955,6230,7366,3340,426861,2753076,3414474,2288343
009460,3055,3120,1570933,16977061,5113691,3080782,2382602,21591453
027050,3815,3900,111787,319721,17095455,2719096,2665597,4994929
123690,10450,11200,46598,75847,8103026,7054231,3093776,5555734
050120,11650,12000,4161788,2979332,4465628,33710087,59420367,53932747
031820,1318,1372,3350670,6440464,5816881,19906055,4180064,13484984
008290,3505,3740,178411,195508,155891,92475,227629,2973439
177350,3960,4090,116232,46472,404674,529391,103382,1416022
003280,4092,4218,501319,485584,13579594,8874204,3147546,1749254
263700,7670,7847,216139,258987,321588,96014,110033,299550
041590,1300,1495,1885911,920790,681409,655303,24072441,24364224
263810,3895,4130,119391,6822530,519697,9048262,1619036,4656238
013000,3980,4110,393308,341414,251235,479990,2374155,16898859
086060,6750,7210,2946226,792856,1060539,4131165,9747621,5952706
195870,13900,14300,14520,12440,22277,30836,18902,89833
039240,1820,1840,60570,79372,139771,46349,57445,1073374
256150,7809,8259,27727,28039,66223,24590,26528,576352
126560,3650,4000,42575,21005,79220,25437,137679,27105359
024900,1295,1375,81984,78944,11327061,1324335,1250061,15775688
033320,4655,4710,167824,111125,69986,50304,46487,320513
010660,2975,3050,906380,888872,972409,995400,2268731,3206780
204840,1170,1220,287033,2541142,1374427,7652376,5312995,3912686
017550,1640,1800,444206,20112170,2030538,905065,19031116,20252559
025980,10250,10350,1496624,1141674,937194,1564045,1079114,1783738
095610,20800,21050,161711,290028,372279,131809,174471,1292991
28513K,19931,21724,555773,244550,220343,1008759,385116,841671
025980,10500,10450,1141674,937194,1564045,1079114,1783738,1100058
123690,9340,9810,2083029,593329,952278,1962202,872864,10971361
003350,29800,30900,138415,56888,85750,329746,57208,1909492
289080,1850,1905,168485,149481,211396,177462,157008,21324517
307930,8570,8880,231051,118162,81461,385874,356758,701659
094480,3140,3210,28714,18328,95366,74385,305912,738579
041910,16350,16700,333171,306728,8465379,9592510,17821851,9121196
239340,4800,5060,986335,627241,224838,593981,423057,4838831
114450,9880,10400,1411211,936446,937382,1192097,2046755,5323232
137940,1650,1690,31297786,3546864,2051416,66909520,14490257,11716733
016600,652,681,185423,274675,728936,407632,2568838,6432963
099220,3035,3090,2998035,9868873,4916839,2894696,12044210,31479905
058820,4180,4375,3195178,5834540,7304128,3303494,10659495,23726079
124560,2923,2989,33576196,18318174,4056110,2609681,3156622,6805121
002410,2470,2810,203395,83085,354444,354916,6937993,31938493
039980,1200,1416,95647,73372,155549,239366,382779,11938253
003690,7386,7907,154556,340364,182131,272479,229456,3789850
119830,6110,6210,87666,58803,236395,121271,151043,1243923
044380,1547,1661,932359,784086,4136049,58359564,84223815,188572317
000440,8630,9390,4912,3644,12722,5704,1757607,2521872
003620,6404,6577,223402,121095,259533,211512,141953,1188765
058450,1811,1884,114419,139827,242207,164844,12835073,4058291
002410,2890,2945,354444,354916,6937993,31938493,8163183,23571690
006620,5110,5262,41502,13792,9733,12127,13147,4221077
004100,1330,1395,401826,376792,176285,24980842,3425017,30777006
123840,1100,1170,307041,452406,463256,308261,390933,17450783
137940,1525,1570,2705093,2363689,1323895,1376464,1449788,28379294
263720,14900,15500,42643,45141,53325,35837,64635,632778
123690,10300,11300,2737240,3890829,2094951,2021601,1296496,3727974
082800,1900,1935,12835524,4820437,4002552,23137852,29238512,22722201
097780,3618,3940,28176300,12774742,7881806,5788940,6426384,19669202
010660,2950,3110,367354,585808,493269,424346,1217458,8904171
104620,6636,6853,1035732,356204,259224,787253,294893,871380
323990,17775,18950,811217,10137430,13478548,3304374,1818414,6558986
094850,5830,5960,469476,306863,155383,247181,166908,296909
229000,17600,17650,74381,72827,26322,51982,33165,32680
011930,2990,3160,10844352,16946134,106848710,43642527,28874175,30741879
032860,5340,5530,581298,292613,144404,447428,2060120,2333229
229000,17700,17900,72827,26322,51982,33165,32680,41847
054090,3360,3535,280770,157002,202902,48323464,5307347,31442399
005030,663,685,1377206,1592405,2308413,649177,779647,26902605
011930,3090,3140,106848710,43642527,28874175,30741879,18548353,39899110
025750,2105,2155,28476427,13454454,7980697,31536332,78676335,160943663
089010,17750,18450,546258,561786,864651,345324,340645,2414391
006380,3095,3190,618014,10981656,1578112,8028350,1415719,6904402
347000,19000,20800,22725030,8400772,3517494,2347213,10315130,5497460
006120,67300,68100,136582,104720,71239,134661,258901,139086
009835,78734,82627,54247,229875,117799,251586,996077,384011
205470,10550,10700,984975,2619539,2293817,1065707,1925549,2849437
229000,18050,18400,33165,32680,41847,59027,59493,255042
229000,18800,19100,32680,41847,59027,59493,255042,66386
090710,1380,1480,23122987,16944952,15434886,7227382,20652660,15341175
245620,6582,6993,449763,308281,439959,378125,310007,1261135
011930,3125,3280,30741879,18548353,39899110,27235894,31768376,187412728
035080,11175,12050,92824,70100,63681,343183,214460,1558994
011930,4055,4010,18548353,39899110,27235894,31768376,187412728,152507861
053030,28500,30750,3518254,2813052,1218453,2181314,1862453,9940086
088350,1790,1840,4523789,4630165,3571577,3109904,33851921,33664086
005430,32900,34200,2723,4764,3554,6815,91260,298997
085370,6790,7100,69514,38664,147012,81751,5655667,11193203
079970,3015,3165,1786505,834301,538628,3911469,31760698,22507133
195990,1145,1250,8019389,10031038,32347105,299192793,353558646,424589569
053590,1250,1310,1642756,3415010,1666231,16144373,7057758,8392625
003495,20788,22051,39632,41068,503416,281032,103074,712569
005690,20800,21300,2470887,2186487,21049172,7169728,11280622,19585605
258790,3650,3900,1377024,1406361,5777604,2086164,39450490,79589355
044380,1125,1145,601417,420886,459065,870380,1926150,2732870
170030,9490,10250,2041521,3259676,7193976,1446028,3895942,5706068
053030,27200,28650,9940086,2035130,1344770,1724541,872027,4310586
950200,18250,21000,818170,441153,1280345,10837608,14221161,24454366
014940,2720,2765,1496555,755792,16194371,3047539,2603158,9013767
104040,2155,2235,5537448,4924380,3791820,2827895,2237829,22220245
161000,8890,9250,2862899,828180,594140,357685,399442,3388577
009620,1525,1590,4998803,1696285,4869860,39788412,29068111,46871472
178780,4100,4400,855020,1147720,1387417,953688,808658,2184084
226950,35483,38485,88276,78235,70091,222934,111428,630041
161390,35000,36000,347702,267435,316686,264453,1259043,1006061
012600,11300,11900,139148,108606,313712,113205,89817,494328
229000,18350,19200,79731,72777,50773,59250,99316,364688
153490,1090,1160,745042,280319,275926,1039735,354488,25015539
065350,6290,6860,1221028,752082,1280440,1191845,684484,5880940
229000,19300,19800,72777,50773,59250,99316,364688,346817
086890,7490,7850,239702,365549,495576,621336,371231,1504846
058400,2070,2150,35412255,8064635,4108819,3305520,3087562,88552495
101140,7120,7350,1495859,497495,574615,650730,2307034,3556808
224060,60124,63660,229057,439535,2253926,2037499,4458185,1974570
080420,4160,4400,187532,194312,153069,127856,161107,9743978
174880,11250,12775,12102590,6372550,2716530,2620165,2968532,16032552
272210,10416,10595,316960,551634,730071,477527,803784,1557634
195990,3000,3225,268356706,0,208996869,297098469,0,296816475
117670,4930,5120,626449,142663,146486,1259897,1401306,1751311
000240,15850,16600,911262,286610,430357,571628,525216,1789306
312610,6425,6850,34867,48808,77706,93348,48104,734626
088390,9030,9200,53501,79212,38180,146437,130141,1520191
229000,19100,19300,364688,346817,177682,104908,100746,137634
094970,2860,3105,538562,120607,149490,87423,831172,7990176
020560,24579,25771,3052430,1929542,1029224,4187258,4812046,13875855
177830,5930,6100,426567,1084855,991336,1135412,604223,3331711
058110,19133,21019,276341,166344,628229,190890,667411,2348424
150840,3859,4053,1394669,3953004,6103337,1770466,930767,4637716
158430,29100,30400,41737,34875,37008,43983,375218,1040419
053300,8850,9570,2857758,1018608,792394,690986,9397877,35134673
060240,4880,5200,72646,58696,128444,121089,106699,9445147
226950,53900,58500,812314,348701,475929,209194,309622,748914
068330,7171,7752,2480571,36575231,11258358,16545990,17179378,29781358
323990,56100,59950,613876,599540,3514414,1077640,639454,2980649
246710,10186,11011,1393934,1043589,7914522,1587837,1400691,1070221
021040,9690,10300,117698,66921,49495,77680,396792,3597130
011000,17573,19044,22284669,3497538,5618751,3012980,2684084,6179891
002870,4165,4430,38758078,5932190,2916889,3176317,63924405,56194778
144510,72500,80000,983571,846815,313764,647438,696537,3602631
084990,25282,26373,405222,773850,1267996,894436,465543,1370676
049630,985,1015,560552,3841077,703111,731373,1466893,22505267
010100,2150,2255,158731,110087,349867,339200,174105,29264731
